"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","Week2","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Week2","System.Collections.Generic.List`1[System.String]",,"Week2","C:\Users\champuser\CSI-230\Week2","CSI-230","True","C:\","","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week4","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","week4","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","week4","System.Collections.Generic.List`1[System.String]",,"week4","C:\Users\champuser\CSI-230\week4","CSI-230","True","C:\","","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week5","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","week5","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","week5","System.Collections.Generic.List`1[System.String]",,"week5","C:\Users\champuser\CSI-230\week5","CSI-230","True","C:\","","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","Week6","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Week6","System.Collections.Generic.List`1[System.String]",,"Week6","C:\Users\champuser\CSI-230\Week6","CSI-230","True","C:\","","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week7","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","week7","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","week7","System.Collections.Generic.List`1[System.String]",,"week7","C:\Users\champuser\CSI-230\week7","CSI-230","True","C:\","","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week8","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","week8","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","week8","System.Collections.Generic.List`1[System.String]",,"week8","C:\Users\champuser\CSI-230\week8","CSI-230","True","C:\","","10/18/2023 12:51:31 PM","10/18/2023 4:51:31 PM","10/18/2023 2:09:19 PM","10/18/2023 6:09:19 PM","10/18/2023 2:09:19 PM","10/18/2023 6:09:19 PM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\firstfile.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230","firstfile.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","firstfile","System.Collections.Generic.List`1[System.String]",,"firstfile.txt","C:\Users\champuser\CSI-230\firstfile.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\IPaddr.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","IPaddr.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","IPaddr","System.Collections.Generic.List`1[System.String]",,"IPaddr.bash","C:\Users\champuser\CSI-230\Week2\IPaddr.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\Kaiden-wg0.conf","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","Kaiden-wg0.conf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","Kaiden-wg0","System.Collections.Generic.List`1[System.String]",,"Kaiden-wg0.conf","C:\Users\champuser\CSI-230\Week2\Kaiden-wg0.conf",,"True",,".conf","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\peer.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","peer.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","peer","System.Collections.Generic.List`1[System.String]",,"peer.bash","C:\Users\champuser\CSI-230\Week2\peer.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\server.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","server.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","server","System.Collections.Generic.List`1[System.String]",,"server.bash","C:\Users\champuser\CSI-230\Week2\server.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2\tom-wg0.conf","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week2","tom-wg0.conf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","tom-wg0","System.Collections.Generic.List`1[System.String]",,"tom-wg0.conf","C:\Users\champuser\CSI-230\Week2\tom-wg0.conf",,"True",,".conf","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
